chemical_code,chemical_name
0202010X0,Polythiazide
0202010Y0,Xipamide
0202020D0,Bumetanide
0202020L0,Furosemide
0202020U0,Torasemide
0202030C0,Amiloride hydrochloride
0202030S0,Spironolactone
0202030W0,Triamterene
0202030X0,Eplerenone
0202040A0,Amiloride hydrochloride with thiazides
0202040B0,Co-amilofruse (Amiloride hydrochloride/frusemide)
0202040C0,Co-amilozide (Amiloride hydrochloride/hydrochlorothiazide)
0202040D0,Amiloride hydrochloride with loop diuretics
0202040G0,Co-flumactone (Hydroflumethiazide/spironolactone)
0202040H0,Co-triamterzide(Triamterene/hydrochlorothiazide)
0202040S0,Spironolactone with thiazides
0202040T0,Spironolactone with loop diuretics
0202040U0,Triamterene with loop diuretics
0202040V0,Triamterene with thiazides
0202050M0,Mannitol
0202080B0,Bendroflumethiazide/potassium
0202080C0,Bumetanide/potassium
0202080K0,Furosemide/potassium
0203020C0,Adenosine
0203020D0,Amiodarone hydrochloride
0203020E0,Bretylium tosilate
0203020F0,Disopyramide
0203020G0,Disopyramide phosphate
0203020I0,Flecainide acetate
0203020L0,Lidocaine hydrochloride
0203020P0,Mexiletine hydrochloride
0203020R0,Propafenone hydrochloride
0203020S0,Procainamide hydrochloride
0203020T0,Quinidine bisulfate
0203020U0,Quinidine sulfate
0203020X0,Dronedarone hydrochloride
020400010,Pindolol with diuretic
020400030,Timolol with diuretic
020400040,Co-tenidone (Atenolol/chlortalidone)
020400060,Celiprolol hydrochloride
020400080,Carvedilol
020400090,Bisoprolol fumarate with diuretic
0204000A0,Atenolol with thiazides
0204000AB,Nebivolol
0204000AC,Bisoprolol fumarate/aspirin
0204000B0,Acebutolol hydrochloride with diuretic
0204000C0,Acebutolol hydrochloride
0204000E0,Atenolol
0204000F0,Atenolol with diuretic
0204000G0,Betaxolol hydrochloride
0204000H0,Bisoprolol fumarate
0204000I0,Labetalol hydrochloride
0204000K0,Metoprolol tartrate
0204000M0,Nadolol
0204000N0,Oxprenolol hydrochloride
0204000P0,Pindolol
0204000Q0,Propranolol hydrochloride with diuretic
0204000R0,Propranolol hydrochloride
0204000T0,Sotalol hydrochloride
0204000U0,Atenolol with calcium channel blocker
0204000V0,Timolol
0204000W0,Metoprolol tartrate with diuretic
0204000X0,Nadolol with diuretic
0204000Y0,Co-prenozide (Oxprenolol hydrochloride/cyclopenthiazide)
0205010AA,Macitentan
0205010AB,Riociguat
0205010AC,Vericiguat
0205010E0,Diazoxide
0205010J0,Hydralazine hydrochloride
0205010N0,Minoxidil
0205010U0,Bosentan
0205010V0,Iloprost
0205010W0,Sitaxentan sodium
0205010X0,Ambrisentan
0205010Y0,Sildenafil(Vasodilator Antihypertensive)
0205010Z0,Tadalafil (Vasodilator Antihypertensive)
0205020E0,Clonidine hydrochloride
0205020G0,Guanfacine hydrochloride
0205020H0,Methyldopa
0205020M0,Moxonidine
0205030H0,Debrisoquine sulfate
0205030N0,Guanethidine monosulfate
0205040D0,Doxazosin mesilate
0205040I0,Indoramin
0205040M0,Phenoxybenzamine hydrochloride
0205040P0,Phentolamine mesilate
0205040S0,Prazosin hydrochloride
0205040V0,Terazosin hydrochloride
0205051AA,Perindopril tosilate
0205051AB,Perindopril tosilate/indapamide
0205051AC,Perindopril with calcium channel blocker
0205051C0,Moexipril hydrochloride
0205051E0,Cilazapril
0205051F0,Captopril
0205051G0,Co-zidocapt (Hydrochlorothiazide/captopril)
0205051H0,Enalapril maleate with diuretic
0205051I0,Enalapril maleate
0205051J0,Fosinopril sodium
0205051K0,Lisinopril with diuretic
0205051L0,Lisinopril
0205051M0,Perindopril erbumine
0205051N0,Perindopril erbumine with diuretic
0205051P0,Quinapril hydrochloride with diuretic
0205051Q0,Quinapril hydrochloride
0205051R0,Ramipril
0205051S0,Ramipril with calcium channel blocker
0205051U0,Trandolapril
0205051V0,Trandolapril with calcium channel blocker
0205051W0,Imidapril hydrochloride
0205051Y0,Perindopril arginine
0205051Z0,Perindopril arginine with diuretic
0205052A0,Irbesartan with diuretic
0205052AB,Olmesartan medoxomil/amlodipine
0205052AC,Olmesartan medoxomil/amlodipine/hydrochlorothiazide
0205052AD,Azilsartan medoxomil
0205052AE,Sacubitril/valsartan
0205052B0,Olmesartan medoxomil
0205052C0,Candesartan cilexetil
0205052I0,Irbesartan
0205052N0,Losartan potassium
0205052P0,Losartan potassium with diuretic
0205052Q0,Telmisartan
0205052R0,Telmisartan with diuretic
0205052V0,Valsartan
0205052W0,Eprosartan
0205052X0,Valsartan with diuretic
0205052Y0,Olmesartan medoxomil/hydrochlorothiazide
0205053A0,Aliskiren
0205060R0,Trimetaphan camsilate
0205080A0,Ketanserin
0206010A0,Amyl nitrite
0206010F0,Glyceryl trinitrate
0206010I0,Isosorbide dinitrate
0206010K0,Isosorbide mononitrate
0206010W0,Isosorbide mononitrate with aspirin
0206020A0,Amlodipine
0206020B0,Trimetazidine hydrochloride
0206020C0,Diltiazem hydrochloride
0206020F0,Felodipine
0206020I0,Isradipine
0206020K0,Lacidipine
0206020L0,Lercanidipine hydrochloride
0206020M0,Nimodipine
0206020Q0,Nicardipine hydrochloride
0206020R0,Nifedipine
0206020T0,Verapamil hydrochloride
0206020W0,Nisoldipine
0206020Z0,Valsartan/amlodipine
0206030N0,Nicorandil
0206030Y0,Ivabradine
0206030Z0,Ranolazine
0206040AA,Cinnarizine
0206040AE,Naftidrofuryl oxalate
0206040AF,Nicotinic acid derivatives
0206040AG,Pentoxifylline
0206040AH,Rutosides
0206040AI,Moxisylyte hydorchloride
0206040AL,Acetyl-l-carnitine
0206040AM,Co-dergocrine mesilate
0206040AT,Diosmin/hesperidin
0206040X0,Cilostazol
0207010D0,Dobutamine hydrochloride
0207010F0,Dopamine hydrochloride
0207010G0,Etilefrine hydrochloride
0207010Y0,Dopexamine hydrochloride
0207020L0,Metaraminol
0207020N0,Methoxamine hydrochloride
0207020R0,Noradrenaline acid tartrate
0207020X0,Phenylephrine hydrochloride
0207020Y0,Midodrine hydrochloride
0207020Z0,Ephedrine hydrochloride
0207030A0,Adrenaline
0208010AA,Reviparin sodium
0208010AB,Fondaparinux sodium
0208010AC,Bemiparin sodium
0208010AD,Lepirudin
0208010B0,Certoparin sodium sodium
0208010C0,Danaparoid sodium
0208010D0,Enoxaparin
0208010E0,Epoprostenol sodium
0208010K0,Heparin sodium
0208010L0,Dalteparin sodium
0208010N0,Heparin calcium
0208010P0,Heparin flushes
0208010W0,Tinzaparin sodium
020802000,Other oral anticoagulant preparations
0208020AA,Edoxaban
0208020H0,Acenocoumarol
0208020I0,Pentosan polysulfate sodium
0208020N0,Phenindione
0208020S0,Phenprocoumon
0208020V0,Warfarin sodium
0208020W0,INR blood testing reagents
0208020X0,Dabigatran etexilate
0208020Y0,Rivaroxaban
0208020Z0,Apixaban
0208030N0,Protamine sulfate
0208040A0,Idarucizumab
0209000A0,Aspirin
0209000C0,Clopidogrel
0209000L0,Dipyridamole
0209000U0,Ticlopidine hydrochloride
0209000V0,Dipyridamole and aspirin
0209000W0,Abciximab
0209000X0,Eptifibatide
0209000Y0,Prasugrel
0209000Z0,Ticagrelor
0210020K0,Reteplase
0210020L0,Streptokinase
0210020U0,Tenecteplase
0210020V0,Alteplase
0211000AA,Antithrombin alfa
0211000AB,Factor XIII (Recombinant)
0211000D0,Etamsylate
0211000H0,Aprotinin
0211000I0,Dried factor VIII fraction
0211000J0,Dried factor IX fraction
0211000K0,Heat treated human factor IX
0211000P0,Tranexamic acid
0211000U0,Dried factor XIII fraction
0211000V0,Drotrecogin alfa
0211000X0,Protein C concentrate
0211000Y0,Factor VIII Inhibitor Bypass Fraction
0211000Z0,Factor VIIa (Recombinant)
021200010,Ciprofibrate
0212000A0,Acipimox
0212000AA,Rosuvastatin calcium
0212000AB,Omega-3-acid ethyl esters
0212000AC,Simvastatin and ezetimibe
0212000AD,Colesevelam hydrochloride
0212000AE,Nicotinic acid/laropiprant
0212000AF,Lomitapide
0212000AG,Policosanol
0212000AH,Evolocumab
0212000AI,Alirocumab
0212000AJ,Fenofibrate/simvastatin
0212000AK,Bempedoic acid
0212000AL,Bempedoic acid/Ezetimibe
0212000AM,Inclisiran
0212000B0,Atorvastatin
0212000C0,Cerivastatin
0212000D0,Bezafibrate
0212000F0,Colestyramine
0212000J0,Ispaghula husk
0212000K0,Colestipol hydrochloride
0212000L0,Ezetimibe
0212000M0,Fluvastatin sodium
0212000P0,Fenofibrate
0212000Q0,Gemfibrozil
0212000U0,Nicotinic acid
0212000V0,Omega-3 marine triglycerides
0212000X0,Pravastatin sodium
0212000Y0,Simvastatin
0213000F0,Ethanolamine oleate
0213000T0,Sodium tetradecyl sulphate
0301011AB,Beclometdiprop/formoterol/glycopyrronium
0301011B0,Bambuterol hydrochloride
0301011E0,Formoterol fumarate
0301011F0,Fenoterol hydrobromide
0301011R0,Salbutamol
0301011U0,Salmeterol
0301011V0,Terbutaline sulphate
0301011X0,Indacaterol maleate
0301011Z0,Olodaterol
0301012A0,Adrenaline
0301012F0,Ephedrine hydrochloride
0301012S0,Orciprenaline sulfate
0301020I0,Ipratropium bromide
0301020P0,Oxitropium bromide
0301020Q0,Tiotropium bromide
0301020R0,Aclidinium bromide
0301020S0,Glycopyrronium bromide
0301020T0,Umeclidinium bromide
0301030B0,Aminophylline
0301030C0,Aminophylline hydrate
0301030S0,Theophylline
0301040AA,Glycopyrronium/formoterol
0301040J0,Ephedrine sulfate
0301040K0,Ephedrine hydrochloride
0301040M0,Fenoterol hydrobromide
0301040R0,Salbutamol
0301040V0,Aclidinium bromide/formoterol
0301040W0,Umeclidinium bromide/vilanterol
0301040X0,Tiotropium bromide/olodaterol
0301040Y0,Indacaterol/glycopyrronium
0302000C0,Beclometasone dipropionate
0302000K0,Budesonide
0302000N0,Fluticasone propionate (Inhalation)
0302000R0,Mometasone furoate
0302000U0,Ciclesonide
0302000V0,Fluticasone furoate (Inhalation)
0302000W0,Mometasone/glycoyrronium/indacaterol
0302000X0,Indacaterol/mometasone
0302000Y0,Formoterol/glycopyrronium/budesonide
0303010J0,Nedocromil sodium
0303010Q0,Sodium cromoglicate
0303020G0,Montelukast
0303020Z0,Zafirlukast
0303030B0,Roflumilast
0304010A0,Acrivastine
0304010AA,Mizolastine
0304010AB,Desloratadine
0304010AC,Levocetirizine
0304010AD,Phenylprop hydrochloride/chlorphenamine maleate
0304010AE,Rupatadine fumarate
0304010AF,Bilastine
0304010AG,Ketotifen fumarate
0304010C0,Azatadine maleate
0304010D0,Loratadine
0304010E0,Fexofenadine hydrochloride
0304010F0,Brompheniramine maleate
0304010G0,Chlorphenamine maleate
0304010H0,Clemastine fumarate
0304010I0,Cetirizine hydrochloride
0304010J0,Hydroxyzine hydrochloride
0304010K0,Cyproheptadine hydrochloride
0304010N0,Diphenhydramine hydrochloride
0304010W0,Promethazine hydrochloride
0304010X0,Terfenadine
0304010Y0,Alimemazine tartrate
0304020AA,Benralizumab
0304020AB,Timothy grass pollen allergen extract
0304020P0,Pollen allergy preparations
0304020W0,Wasp and bee venom allergy preparations
0304020X0,Omalizumab
0304020Y0,Mepolizumab
0304020Z0,Reslizumab
0304030C0,Adrenaline
0304030F0,C1-Esterase inhibitor
0304030G0,Ephedrine hydrochloride
0304030H0,Icatibant acetate
0305010W0,Doxapram hydrochloride
0307000C0,Acetylcysteine
0307000J0,Carbocisteine
0307000K0,Dornase alfa
0307000L0,Mecysteine hydrochloride
0307000P0,Tyloxapol
0307000Q0,Erdosteine
0307000R0,Mannitol
0307000S0,Ivacaftor
0307000T0,Lumacaftor/ivacaftor
0307000U0,Tezacaftor/ivacaftor
030800000,Other aromatic inhalation preparations
0308000B0,Benzoin
0308000M0,Menthol
0309010C0,Codeine phosphate
0309010L0,Dextromethorphan hydrobromide
0309010N0,Diamorphine hydrochloride
0309010S0,Methadone hydrochloride
0309010X0,Pholcodine
0309010Y0,Ephedrine hydrochloride/dextromethorphan hydrobromide
030902000,Other expectorantand demulcent cough preparations
030902020,Potassium iodide
030902030,Pholcodine
030902040,Diphenhydramine hydrochloride
0309020A0,Ammonium acetate
0309020AA,Ibuprofen/pseudoephedrine hydrochloride
0309020AB,Diphenhydramine hydrochloride/pholcodine
0309020AC,Guaiacol and codeine
0309020AD,Squill/ipecacuanha
0309020AE,Ephedrine hydrochloride/ipecacuanha
0309020AF,Pseudoephedrine hydrochloride/dextromethorphan hydrobromide
0309020AG,Citric acid monohydrate/ipecacuanha
0309020AH,Ammonium chloride/diphenhydramine hydrochloride
0309020B0,Ammonium bicarbonate
0309020D0,Simple
0309020G0,Guaifenesin
0309020H0,Glycerol
0309020I0,Squill
0309020K0,Squill opiate
0309020N0,Powdered opium
0309020Q0,Pseudoephedrine hydrochloride combinations
0309020R0,Dextromethorphan hydrobrom compound prepartions
0309020T0,Ipecacuanha
0309020U0,Brompheniramine maleate combinations
0309020V0,Liquorice
0309020X0,Terpin hydrate
0309020Z0,Wild cherry bark
0310000E0,Ephedrine hydrochloride
0310000K0,Phenylpropanolamine hydrochloride
0310000M0,Pseudoephedrine sulfate combinations
0310000N0,Pseudoephedrine hydrochloride
0310000Q0,Phenylephrine hydrochloride
0311010B0,Pirfenidone
040101000,Other hypnotic preparations
0401010AC,Sodium oxybate
0401010AD,Melatonin
0401010B0,Chloral hydrate
0401010C0,Cloral betaine
0401010D0,Clomethiazole edisilate
0401010F0,Clomethiazole
0401010I0,Flunitrazepam
0401010L0,Flurazepam hydrochloride
0401010N0,Loprazolam mesilate
0401010P0,Lormetazepam
0401010R0,Nitrazepam
0401010S0,Potassium bromide
0401010T0,Temazepam
0401010W0,Zaleplon
0401010X0,Triclofos sodium
0401010Y0,Zolpidem tartrate
0401010Z0,Zopiclone
0401020A0,Alprazolam
0401020B0,Buspirone hydrochloride
0401020E0,Chlordiazepoxide hydrochloride
0401020G0,Bromazepam
0401020K0,Diazepam
0401020P0,Lorazepam
0401020R0,Meprobamate
0401020T0,Oxazepam
0401020V0,Clorazepate dipotassium
0401030C0,Amobarbital
0401030E0,Amobarbital sodium
0401030H0,Butobarbital
0401030T0,Secobarbital sodium
040201010,Zuclopenthixol acetate
040201030,Risperidone
040201050,Sertindole
040201060,Olanzapine
0402010A0,Amisulpride
0402010AB,Quetiapine
0402010AC,Zotepine
0402010AD,Aripiprazole
0402010AE,Paliperidone
0402010AF,Melperone hydrochloride
0402010AG,Ziprasidone hydrochloride
0402010AH,Clotiapine
0402010AI,Lurasidone
0402010AJ,Cariprazine
0402010B0,Benperidol
0402010C0,Clozapine
0402010D0,Chlorpromazine hydrochloride
0402010F0,Chlorprothixene
0402010G0,Droperidol
0402010H0,Flupentixol hydrochloride
0402010I0,Fluphenazine hydrochloride
0402010J0,Haloperidol
0402010K0,Levomepromazine maleate
0402010L0,Levomepromazine hydrochloride
0402010M0,Loxapine succinate
0402010N0,Oxypertine
0402010P0,Pericyazine
0402010Q0,Perphenazine
0402010R0,Pimozide
0402010S0,Promazine hydrochloride
0402010T0,Zuclopenthixol hydrochloride
0402010U0,Sulpiride
0402010W0,Thioridazine
0402010X0,Trifluoperazine
0402020AA,Risperidone
0402020AB,Paliperidone
0402020AC,Olanzapine embonate
0402020AD,Aripiprazole
0402020G0,Flupentixol decanoate
0402020L0,Fluphenazine decanoate
0402020T0,Haloperidol decanoate
0402020V0,Pipotiazine palmitate
0402020Z0,Zuclopenthixol decanoate
0402030K0,Lithium carbonate
0402030P0,Lithium citrate
0402030Q0,Valproic acid
0402030R0,Asenapine
0403010B0,Amitriptyline hydrochloride
0403010C0,Amoxapine
0403010F0,Clomipramine hydrochloride
0403010J0,Dosulepin hydrochloride
0403010L0,Doxepin
0403010N0,Imipramine hydrochloride
0403010R0,Lofepramine hydrochloride
0403010S0,Maprotiline hydrochloride
0403010T0,Mianserin hydrochloride
0403010V0,Nortriptyline
0403010X0,Trazodone hydrochloride
0403010Y0,Trimipramine maleate
0403020H0,Isocarboxazid
0403020K0,Moclobemide
0403020M0,Phenelzine sulfate
0403020Q0,Tranylcypromine sulfate
0403030D0,Citalopram hydrobromide
0403030E0,Fluoxetine hydrochloride
0403030L0,Fluvoxamine maleate
0403030P0,Paroxetine hydrochloride
0403030Q0,Sertraline hydrochloride
0403030X0,Escitalopram
0403030Z0,Citalopram hydrochloride
040304000,Other antidepressant preparations
0403040AA,Levomilnacipran
0403040AB,Vortioxetine
0403040F0,Flupentixol hydrochloride
0403040R0,Oxitriptan
0403040S0,Tryptophan
0403040T0,Nefazodone hydrochloride
0403040U0,Reboxetine
0403040W0,Venlafaxine
0403040X0,Mirtazapine
0403040Y0,Duloxetine hydrochloride
0403040Z0,Agomelatine
0404000D0,Caffeine
0404000E0,Caffeine citrate
0404000L0,Dexamfetamine sulfate
0404000M0,Methylphenidate hydrochloride
0404000R0,Modafinil
0404000S0,Atomoxetine hydrochloride
0404000T0,Dexmethylphenidate hydrochloride
0404000U0,Lisdexamfetamine dimesylate
0404000V0,Guanfacine
0404000W0,Pitolisant hydrochloride
0405010P0,Orlistat
0405020N0,Mazindol
0405020S0,Sibutramine
0405020T0,Rimonabant
0405020U0,Naltrexone/bupropion
0406000A0,Hyoscine
0406000AA,Doxylamine succinate/pyridoxine hydrochloride
0406000AB,Palonosetron hydrochloride
0406000AC,Dimenhydrinate/cinnarizine
0406000AD,Aprepitant
0406000AE,Fosaprepitant
0406000AF,Granisetron
0406000AG,Netupitant/palonosetron hydrochloride
0406000AH,Rolapitant
0406000B0,Betahistine hydrochloride
0406000D0,Cinnarizine
0406000E0,Flunarizine dihydrochloride
0406000F0,Cyclizine hydrochloride
0406000G0,Cyclizine lactate
0406000H0,Dimenhydrinate
0406000J0,Domperidone
0406000L0,Hyoscine hydrobromide
0406000M0,Granisetron hydrochloride
0406000N0,Meclozine hydrochloride
0406000P0,Metoclopramide hydrochloride
0406000R0,Nabilone
0406000S0,Ondansetron hydrochloride
0406000T0,Prochlorperazine maleate
0406000U0,Prochlorperazine mesilate
0406000V0,Promethazine teoclate
0406000W0,Ketamine hydrochloride
0406000Y0,Tropisetron
0406000Z0,Dolasetron mesilate
040701000,Other non-opioid analgesic preparations
040701020,Co-methiamol (Methionine/paracetamol)
0407010A0,Aspirin and papaveretum
0407010AA,Aspirin and caffeine
0407010AB,Paracetamol and phenylephrine hydrochloride
0407010AC,Isometheptene mucate
0407010AD,Paracetamol and ibuprofen
0407010B0,Aspirin
0407010F0,Co-codamol (Codeine phosphate/paracetamol)
0407010H0,Paracetamol
0407010M0,Co-codaprin (Codeine phosphate/aspirin)
0407010N0,Co-dydramol (Dihydrocodeine/paracetamol)
0407010P0,Nefopam hydrochloride
0407010Q0,Co-proxamol (Dextropropoxyphene hydrochloride/paracetamol)
0407010S0,Aspirin and paracetamol
0407010U0,Paracetamol and caffeine
0407010W0,Aspirin combined preparations
0407010X0,Paracetamol combined preparations
040702020,Morphine tartrate and cyclizine tartrate
040702040,Tramadol hydrochloride
040702050,Hydromorphone hydrochloride
0407020A0,Fentanyl
0407020AB,Papaveretum
0407020AD,Oxycodone hydrochloride
0407020AF,Oxycodone hydrochloride/naloxone hydrochloride
0407020AG,Tapentadol hydrochloride
0407020B0,Buprenorphine
0407020C0,Codeine phosphate
0407020D0,Dextromoramide tartrate
0407020E0,Dextropropoxyphene
0407020G0,Dihydrocodeine tartrate
0407020H0,Dipipanone hydrochloride
0407020K0,Diamorphine hydrochloride (Systemic)
0407020L0,Meptazinol hydrochloride
0407020M0,Methadone hydrochloride
0407020P0,Morphine hydrochloride
0407020Q0,Morphine sulfate
0407020T0,Pentazocine hydrochloride
0407020U0,Pentazocine lactate
0407020V0,Pethidine hydrochloride
0407020W0,Morphine (Opium Tincture)
0407020Y0,Nalbuphine hydrochloride
0407020Z0,Oxycodone
0407030AD,Gabapentin (Neuropathic Pain)
0407030AF,Other drugs to treat neuropathic pain
0407041A0,Analgesics with anti-emetics
0407041AA,Eletriptan
0407041AB,Frovatriptan
0407041AC,Erenumab
0407041B0,Almotriptan
0407041F0,Ergotamine tartrate
0407041M0,Naratriptan hydrochloride
0407041R0,Rizatriptan
0407041T0,Sumatriptan succinate
0407041U0,Tolfenamic acid
0407041Z0,Zolmitriptan
0407042F0,Clonidine hydrochloride
0407042L0,Methysergide
0407042Q0,Pizotifen malate
0407042R0,Fremanezumab
0407042S0,Galcanezumab
040801020,Valproic acid
040801050,Topiramate
040801060,Clobazam
0408010A0,Levetiracetam
0408010AA,Felbamate
0408010AB,Tiagabine
0408010AD,Zonisamide
0408010AE,Pregabalin
0408010AF,Rufinamide
0408010AG,Stiripentol
0408010AH,Lacosamide
0408010AI,Eslicarbazepine acetate
0408010AJ,Retigabine
0408010AK,Perampanel
0408010AL,Brivaracetam
0408010AM,Cannabidiol
0408010C0,Carbamazepine
0408010D0,Oxcarbazepine
0408010F0,Clonazepam
0408010G0,Gabapentin
0408010H0,Lamotrigine
0408010I0,Ethosuximide
0408010K0,Mesuximide
0408010N0,Phenobarbital
0408010P0,Phenobarbital sodium
0408010Q0,Phenytoin sodium
0408010U0,Primidone
0408010W0,Sodium valproate
0408010X0,Vigabatrin
0408010Y0,Sultiame
0408010Z0,Phenytoin
0408020D0,Clonazepam
0408020Q0,Paraldehyde
0408020T0,Phenytoin sodium
0408020U0,Fosphenytoin sodium
0408020V0,Midazolam maleate
0408020W0,Midazolam hydrochloride
0409010A0,Apomorphine hydrochloride
0409010AA,Safinamide
0409010AB,Opicapone
0409010AC,Apomorphine hydrochloride hemihydrate
0409010B0,Amantadine hydrochloride
0409010D0,Carbidopa
0409010H0,Ropinirole hydrochloride
0409010I0,Levodopa
0409010K0,Co-beneldopa (Benserazide/levodopa)
0409010L0,Lisuride maleate
0409010N0,Co-careldopa (Carbidopa/levodopa)
0409010P0,Pergolide mesilate
0409010S0,Tolcapone
0409010T0,Selegiline hydrochloride
0409010U0,Cabergoline
0409010V0,Entacapone
0409010W0,Pramipexole
0409010X0,Levodopa/carbidopa/entacapone
0409010Y0,Rasagiline mesilate
0409010Z0,Rotigotine
0409020C0,Trihexyphenidyl hydrochloride
0409020E0,Benzatropine mesilate
0409020G0,Biperiden hydrochloride
0409020N0,Orphenadrine hydrochloride
0409020S0,Procyclidine hydrochloride
0409030A0,Botulinum toxin type B
0409030B0,Botulinum toxin type A
0409030C0,Tetrabenazine
0409030P0,Piracetam
0409030R0,Riluzole
0409030S0,Tafamidis
0410010A0,Acamprosate calcium
0410010B0,Disulfiram
0410010D0,Nalmefene
0410020A0,Bupropion hydrochloride
0410020B0,Nicotine
0410020C0,Varenicline tartrate
0410020D0,Nicotine bitartrate
0410030A0,Buprenorphine hydrochloride
0410030B0,Buprenorph hydrochloride/naloxone hydrochloride
0410030C0,Methadone hydrochloride
0410030D0,Lofexidine hydrochloride
0410030E0,Naltrexone hydrochloride
0411000D0,Donepezil hydrochloride
